,Punkt,Höhe,Linie,Dist. entlang Linie,Böschung Verhältnis Neugrad,Böschung Verhältnis aktuell Neugrad,Böschung Höhendifferenz,Böschung HD Differenz
1,SPC9.M1,668.164985,Line_162,17.35487,94.44438942807056,94.39197150506706,-0.07848854415347972,-0.006866926178694582
2,SPC8.M1,664.86303,Line_162,12.179811,94.44438942807056,94.46980083277087,0.022866374683859547,0.002000568473042225
3,SPC22.M1,669.277996,Line_134,7.940343,88.88892698450486,88.50607589751012,-0.12363730265667972,-0.02180051599498974
4,SPC21.M1,670.054617,Line_134,17.335495,88.88892698450486,88.75929085154088,-0.05108571913949245,-0.009007759092808786
5,SPC20.M1,670.446756,Line_134,27.513811,88.88892698450486,88.78775238809837,-0.04351201373034641,-0.0076723151582875565
6,SPC19.M1,670.735984,Line_134,37.448217,88.88892698450486,88.64044222892547,-0.11351560378443892,-0.020015793638392506
7,SPC18.M1,669.956541,Line_134,40.780126,88.88892698450486,88.73381608067525,-0.059730963186677144,-0.010532143538938221
8,SPC17.M1,668.182858,Line_134,45.352416,88.88892698450486,88.56529556589638,-0.08688041577462613,-0.015319307790186306
